NAME                                    VERSION                                   TYPE                           
language-pack-ko                        1:24.04+20240817                          deb                             
language-pack-ko-base                   1:24.04+20240817                          deb                             
language-pack-ku                        1:23.10+20230929                          deb                             
language-pack-ku-base                   1:23.10+20230919                          deb                             
language-pack-lt                        1:24.04+20240817                          deb                             
language-pack-lt-base                   1:24.04+20240817                          deb                             
language-pack-lv                        1:24.04+20240817                          deb                             
language-pack-lv-base                   1:24.04+20240817                          deb                             
language-pack-mk                        1:23.10+20231006                          deb                             
language-pack-mk-base                   1:23.10+20231006                          deb                             
language-pack-ml                        1:24.04+20240817                          deb                             
language-pack-ml-base                   1:24.04+20240817                          deb                             
language-pack-mr                        1:24.04+20240817                          deb                             
language-pack-mr-base                   1:24.04+20240817                          deb                             
language-pack-ms                        1:24.04+20240817                          deb                             
language-pack-ms-base                   1:24.04+20240817                          deb                             
language-pack-my                        1:24.04+20240817                          deb                             
language-pack-my-base                   1:24.04+20240817                          deb                             
language-pack-nb                        1:24.04+20240817                          deb                             
language-pack-nb-base                   1:24.04+20240817                          deb                             
language-pack-nds                       1:17.10+20171012                          deb                             
language-pack-nds-base                  1:17.10+20171012                          deb                             
language-pack-ne                        1:24.04+20240817                          deb                             
language-pack-ne-base                   1:24.04+20240817                          deb                             
language-pack-nl                        1:24.04+20240817                          deb                             
language-pack-nl-base                   1:24.04+20240817                          deb                             
language-pack-nn                        1:24.04+20240817                          deb                             
language-pack-nn-base                   1:24.04+20240817                          deb                             
language-pack-oc                        1:24.04+20240817                          deb                             
language-pack-oc-base                   1:24.04+20240817                          deb                             
language-pack-or                        1:23.10+20231006                          deb                             
language-pack-or-base                   1:23.10+20231006                          deb                             
language-pack-pa                        1:24.04+20240817                          deb                             
language-pack-pa-base                   1:24.04+20240817                          deb                             
language-pack-pl                        1:24.04+20240817                          deb                             
language-pack-pl-base                   1:24.04+20240817                          deb                             
language-pack-pt                        1:24.04+20240817                          deb                             
language-pack-pt-base                   1:24.04+20240817                          deb                             
language-pack-ro                        1:24.04+20240817                          deb                             
language-pack-ro-base                   1:24.04+20240817                          deb                             
language-pack-ru                        1:24.04+20240817                          deb                             
language-pack-ru-base                   1:24.04+20240817                          deb                             
language-pack-si                        1:18.10+20181009                          deb                             
language-pack-si-base                   1:18.10+20180731                          deb                             
language-pack-sk                        1:24.04+20240817                          deb                             
language-pack-sk-base                   1:24.04+20240817                          deb                             
language-pack-sl                        1:24.04+20240817                          deb                             
language-pack-sl-base                   1:24.04+20240817                          deb                             
language-pack-sq                        1:24.04+20240817                          deb                             
language-pack-sq-base                   1:24.04+20240817                          deb                             
language-pack-sr                        1:24.04+20240817                          deb                             
language-pack-sr-base                   1:24.04+20240817                          deb                             
language-pack-sv                        1:24.04+20240817                          deb                             
language-pack-sv-base                   1:24.04+20240817                          deb                             
language-pack-ta                        1:24.04+20240817                          deb                             
language-pack-ta-base                   1:24.04+20240817                          deb                             
language-pack-te                        1:24.04+20240817                          deb                             
language-pack-te-base                   1:24.04+20240817                          deb                             
language-pack-tg                        1:23.10+20231006                          deb                             
language-pack-tg-base                   1:23.10+20231006                          deb                             
language-pack-th                        1:24.04+20240817                          deb                             
language-pack-th-base                   1:24.04+20240817                          deb                             
language-pack-tr                        1:24.04+20240817                          deb                             
language-pack-tr-base                   1:24.04+20240817                          deb                             
language-pack-ug                        1:24.04+20240817                          deb                             
language-pack-ug-base                   1:24.04+20240817                          deb                             
language-pack-uk                        1:24.04+20240817                          deb                             
language-pack-uk-base                   1:24.04+20240817                          deb                             
language-pack-vi                        1:24.04+20240817                          deb                             
language-pack-vi-base                   1:24.04+20240817                          deb                             
language-pack-xh                        1:17.10+20171012                          deb                             
language-pack-xh-base                   1:17.10+20171012                          deb                             
language-pack-zh-hans                   1:24.04+20240817                          deb                             
language-pack-zh-hans-base              1:24.04+20240817                          deb                             
language-pack-zh-hant                   1:24.04+20240817                          deb                             
language-pack-zh-hant-base              1:24.04+20240817                          deb                             
launchpadlib                            1.11.0                                    python                          
lazr-restfulclient                      0.14.6                                    python                          
lazr-uri                                1.0.6                                     python                          
less                                    590-2ubuntu2.1                            deb                             
liba52-0.7.4                            0.7.4-20build1                            deb                             
libaa1                                  1.4p5-51.1                                deb                             
libaacs0                                0.11.1-2build1                            deb                             
libabsl20220623t64                      20220623.1-3.1ubuntu3                     deb                             
libaccounts-glib0                       1.26-1build3                              deb                             
libaccountsservice0                     23.13.9-2ubuntu6                          deb                             
libacl1                                 2.3.2-1build1.1                           deb                             
libadwaita-1-0                          1.5.0-1ubuntu2                            deb                             
libalgorithm-c3-perl                    0.11-2                                    deb                             
libalien-wxwidgets-perl                 0.69+dfsg-6build7                         deb                             
libaom3                                 3.8.2-2ubuntu0.1                          deb                             
libapparmor1                            4.0.1really4.0.1-0ubuntu0.24.04.3         deb                             
libappstream5                           1.0.2-1build6                             deb                             
libapt-pkg6.0t64                        2.7.14build2                              deb                             
libarchive13t64                         3.7.2-2ubuntu0.3                          deb                             
libargon2-1                             0~20190702+dfsg-4build1                   deb                             
libasound2-data                         1.2.11-1build2                            deb                             
libasound2-plugins                      1.2.7.1-1ubuntu5                          deb                             
libasound2t64                           1.2.11-1build2                            deb                             
libaspell15                             0.60.8.1-1build1                          deb                             
libass9                                 1:0.17.1-2build1                          deb                             
libassuan0                              2.5.6-1build1                             deb                             
libasyncns0                             0.8-6build4                               deb                             
libatasmart4                            0.19-5build3                              deb                             
libatk-bridge2.0-0t64                   2.52.0-1build1                            deb                             
libatk1.0-0t64                          2.52.0-1build1                            deb                             
libatkmm-1.6-1v5                        2.28.4-1build4                            deb                             
libatm1t64                              1:2.5.1-5.1build1                         deb                             
libatomic1                              14.2.0-4ubuntu2~24.04                     deb           (+1 duplicate)    
libatspi2.0-0t64                        2.52.0-1build1                            deb                             
libattr1                                1:2.5.2-1build1                           deb                             
libaudit-common                         1:3.1.2-2.1build1.1                       deb                             
libaudit1                               1:3.1.2-2.1build1.1                       deb                             
libavahi-client3                        0.8-13ubuntu6                             deb                             
libavahi-common-data                    0.8-13ubuntu6                             deb                             
libavahi-common3                        0.8-13ubuntu6                             deb                             
libavahi-core7                          0.8-13ubuntu6                             deb                             
libavahi-glib1                          0.8-13ubuntu6                             deb                             
libavc1394-0                            0.5.4-5build3                             deb                             
libavcodec60                            7:6.1.1-3ubuntu5                          deb                             
libavdevice60                           7:6.1.1-3ubuntu5                          deb                             
